id,pickup_date,pickup_time,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
0,2016-01-07,19:32:15,1,-73.98638916015625,40.756614685058594,-73.99979400634766,40.76163101196289,520
1,2016-01-27,08:07:32,1,-73.95603942871094,40.76760864257813,-73.96820068359375,40.78668975830078,989
2,2016-01-31,13:52:55,1,-73.97599792480467,40.751136779785156,-74.0018539428711,40.7352294921875,657
3,2016-01-19,08:00:19,3,-73.96012115478516,40.78195190429688,-73.97196960449219,40.75503921508789,1035
4,2016-01-25,23:32:14,1,-73.98743438720702,40.76013946533203,-73.99098205566406,40.7448616027832,621
5,2016-01-05,09:53:39,1,-73.98117828369139,40.72090148925781,-73.97738647460938,40.7260856628418,204
6,2016-01-07,15:26:03,1,-73.978271484375,40.74565505981445,-73.96525573730467,40.75829315185547,734
7,2016-01-05,20:50:39,2,-73.97845458984375,40.74130630493164,-73.97649383544923,40.73245620727539,299
8,2016-01-06,00:20:48,1,-73.97271728515625,40.7493896484375,-73.9671173095703,40.75661849975585,235
9,2016-01-13,22:37:39,3,-73.9788818359375,40.72396087646485,-73.9420623779297,40.79539108276367,966
10,2016-01-22,23:11:19,2,-73.97834014892578,40.74544143676758,-73.98726654052734,40.755672454833984,587
11,2016-01-13,17:57:24,1,-74.00453186035155,40.73331069946289,-74.0077896118164,40.70304870605469,605
12,2016-01-19,17:56:19,1,-73.97379302978516,40.75607299804688,-73.98966979980467,40.752235412597656,918
13,2016-01-22,14:13:46,1,-73.87335968017578,40.77410888671875,-73.95811462402342,40.77555847167969,3695
14,2016-01-10,19:44:33,1,-73.98390960693358,40.74391174316406,-74.00566864013672,40.74016952514648,616
15,2016-01-25,21:40:01,1,-73.98220825195312,40.76811981201172,-73.99611663818358,40.753700256347656,414
16,2016-01-25,21:05:42,1,-73.78208923339844,40.64464950561523,-73.9742431640625,40.78976058959961,3370
17,2016-01-29,12:06:19,2,-73.96260070800781,40.77273178100585,-73.96209716796875,40.76374816894531,632
18,2016-01-02,12:41:23,1,-73.99327087402342,40.743080139160156,-73.99559020996094,40.74924087524415,216
19,2016-01-22,18:39:20,3,-73.99622344970702,40.72639846801758,-74.00889587402342,40.720645904541016,433
20,2016-01-06,14:14:18,1,-74.008056640625,40.722469329833984,-73.99311065673827,40.74858093261719,666
21,2016-01-30,13:15:38,2,-74.00557708740234,40.70655059814453,-73.9830093383789,40.74795913696289,900
22,2016-01-07,15:35:31,1,-73.96939849853516,40.753700256347656,-73.98226928710938,40.74872589111328,442
23,2016-01-06,07:29:02,1,-73.96682739257811,40.80426025390625,-73.97238922119139,40.75994110107422,1219
24,2016-01-27,11:23:55,1,-73.99539184570312,40.73947143554688,-73.9896926879883,40.73426818847656,993
25,2016-01-04,15:09:16,3,-73.97270965576173,40.790916442871094,-73.96469116210938,40.76716995239258,1164
26,2016-01-09,11:34:06,1,-73.97423553466798,40.75679016113281,-73.95871734619139,40.76427459716797,302
27,2016-01-22,14:35:14,2,-73.95492553710938,40.7890853881836,-73.95580291748048,40.77235794067383,1022
28,2016-01-04,13:32:22,1,-73.98992156982422,40.75621032714844,-73.94923400878906,40.77101516723633,1157
29,2016-01-17,04:13:10,5,-74.00340270996094,40.74372863769531,-73.96105194091797,40.71135330200195,1039
30,2016-01-29,16:16:56,1,-73.95585632324219,40.78780746459961,-73.9747085571289,40.7900619506836,576
31,2016-01-18,13:28:52,1,-73.97891235351562,40.765708923339844,-73.96182250976562,40.80553817749024,936
32,2016-01-08,10:33:48,5,-73.96649932861328,40.77224349975585,-74.01027679443358,40.702110290527344,1212
33,2016-01-25,05:15:30,1,-73.94892120361328,40.77411651611328,-73.99105072021484,40.744625091552734,1063
34,2016-01-05,06:04:59,1,-74.00513458251955,40.737213134765625,-73.99544525146483,40.74792861938477,173
35,2016-01-21,20:36:35,1,-73.98293304443358,40.730823516845696,-73.99333190917969,40.74163818359375,642
36,2016-01-10,11:44:07,2,-73.95182800292969,40.777698516845696,-73.95470428466798,40.787506103515625,238
37,2016-01-18,20:34:59,3,-73.97589874267578,40.75497055053711,-73.98155212402342,40.7463493347168,165
38,2016-01-08,19:21:19,2,-73.97747802734375,40.72929000854492,-73.9716567993164,40.74359893798828,453
39,2016-01-03,13:05:29,5,-73.97335052490234,40.79273986816406,-73.87308502197266,40.774269104003906,1447
40,2016-01-18,22:43:01,5,-73.9838638305664,40.76565933227539,-73.98040008544923,40.780521392822266,311
41,2016-01-30,19:56:06,5,-74.00031280517578,40.730281829833984,-73.97763061523438,40.74721145629883,1440
42,2016-01-20,19:16:18,1,-73.98506164550781,40.74468231201172,-73.96923828125,40.75569915771485,684
43,2016-01-04,23:36:45,1,-73.99210357666014,40.738040924072266,-73.98847198486328,40.74831008911133,195
44,2016-01-24,13:49:14,1,-73.9874267578125,40.778995513916016,-73.96255493164062,40.77642059326172,775
45,2016-01-19,18:57:33,2,-73.96863555908203,40.75056076049805,-73.97975158691406,40.75506591796875,448
46,2016-01-04,15:45:53,6,-73.99951171875,40.72515869140625,-73.9734878540039,40.76094055175781,1133
47,2016-01-16,13:29:54,1,-74.00695037841797,40.7163200378418,-74.00525665283203,40.728340148925774,335
48,2016-01-01,12:18:52,1,-73.9818115234375,40.74052810668945,-73.9729766845703,40.755760192871094,266
49,2016-01-13,16:49:09,1,-73.78174591064453,40.64490127563477,-73.98332977294923,40.72526550292969,2699
50,2016-01-15,23:08:58,1,-74.00843048095702,40.745750427246094,-73.98763275146483,40.72161102294922,1857
51,2016-01-03,16:24:18,1,-73.99537658691406,40.7252311706543,-74.00326538085938,40.72696304321289,178
52,2016-01-21,08:27:45,1,-73.98841094970702,40.7489128112793,-73.9966812133789,40.75603866577149,466
53,2016-01-05,14:33:15,5,-73.97170257568358,40.795005798339844,-74.00568389892578,40.745704650878906,851
54,2016-01-09,13:57:53,1,-73.97830963134766,40.752201080322266,-73.98162841796875,40.76266479492188,389
55,2016-01-03,13:49:53,2,-73.95964050292969,40.76322555541992,-73.98273468017578,40.73871612548828,570
56,2016-01-12,06:09:26,1,-73.97593688964845,40.76017379760742,-73.9806900024414,40.78072738647461,496
57,2016-01-20,11:29:40,6,-73.96381378173827,40.807952880859375,-73.9628677368164,40.77413177490234,954
58,2016-01-18,11:44:57,1,-74.01367950439453,40.70806121826172,-73.97997283935547,40.760658264160156,1385
59,2016-01-03,10:04:05,2,-74.00402069091797,40.72539138793945,-73.98622131347656,40.73110961914063,327
60,2016-01-29,20:41:10,1,-73.95459747314453,40.76398086547852,-73.96794128417969,40.76268005371094,438
61,2016-01-20,13:43:58,2,-73.95294189453125,40.78627014160156,-73.96556854248048,40.77444839477539,410
62,2016-01-14,17:28:22,1,-73.96952056884766,40.760417938232415,-73.974853515625,40.75263214111328,217
63,2016-01-27,17:34:18,5,-74.00370788574219,40.7216682434082,-73.99011993408203,40.74847030639648,1166
64,2016-01-23,00:19:01,5,-73.99310302734375,40.69293975830078,-73.96414947509766,40.672229766845696,981
65,2016-01-28,08:54:43,5,-73.98944091796875,40.75242614746094,-73.97380065917969,40.757568359375,724
66,2016-01-08,19:54:45,1,-73.87077331542969,40.77371215820313,-73.95625305175781,40.74720764160156,961
67,2016-01-06,02:53:03,4,-74.00045013427734,40.73749923706055,-73.91509246826173,40.67242813110352,1577
68,2016-01-19,11:26:57,1,-73.97914123535155,40.762149810791016,-73.99517059326173,40.74976348876953,1140
69,2016-01-31,08:11:06,2,-73.99227142333984,40.7307243347168,-73.99858856201173,40.721866607666016,255
70,2016-01-12,08:31:27,1,-73.98197174072266,40.76538848876953,-73.97186279296875,40.76031875610352,346
71,2016-01-22,16:24:28,1,-73.96444702148438,40.772987365722656,-73.97966003417969,40.78384780883789,509
72,2016-01-16,18:47:32,1,-73.97974395751955,40.78640365600585,-73.97609710693358,40.78132247924805,211
73,2016-01-18,13:43:00,6,-74.00818634033203,40.71462631225585,-74.0013427734375,40.73381042480469,425
74,2016-01-13,09:18:07,2,-74.0128402709961,40.71692276000977,-74.00650787353516,40.75132751464844,430
75,2016-01-28,11:38:13,1,-73.9916458129883,40.74465942382813,-73.98165130615234,40.76485061645508,963
76,2016-01-09,08:20:38,1,-73.95545959472656,40.779609680175774,-73.95284271240234,40.7918701171875,238
77,2016-01-10,20:11:20,2,-74.0062484741211,40.73435974121094,-74.00830841064453,40.70750045776367,711
78,2016-01-30,23:03:29,1,-73.96266174316406,40.77412414550781,-73.97309875488281,40.755653381347656,437
79,2016-01-21,19:05:31,2,-73.96370697021484,40.76837158203125,-73.99642181396483,40.72206115722656,1550
80,2016-01-15,20:31:25,2,-73.97842407226562,40.7454833984375,-73.9771728515625,40.74712753295898,94
81,2016-01-04,18:05:47,1,-73.98667907714845,40.76149368286133,-73.99783325195312,40.751243591308594,325
82,2016-01-16,15:35:11,1,-73.96937561035155,40.76388168334961,-73.98584747314453,40.73515319824219,732
83,2016-01-18,22:28:52,1,-73.99801635742188,40.73455047607422,-73.98551940917969,40.738868713378906,340
84,2016-01-11,15:59:56,1,-73.98251342773438,40.74856185913085,-74.00272369384766,40.74163055419922,715
85,2016-01-11,16:20:31,5,-73.94978332519531,40.76857376098633,-73.96165466308594,40.77280044555664,334
86,2016-01-23,00:59:34,5,-73.97317504882812,40.763893127441406,-73.98603820800781,40.76113510131836,410
87,2016-01-03,03:31:08,2,-73.9914321899414,40.72697067260742,-73.9881591796875,40.72896957397461,183
88,2016-01-26,15:30:23,1,-73.95613861083984,40.76457977294922,-73.9943618774414,40.756660461425774,2226
89,2016-01-29,05:11:42,5,-73.97269439697266,40.753326416015625,-73.94186401367188,40.78947067260742,616
90,2016-01-10,13:20:46,1,-73.98140716552734,40.77399826049805,-73.99907684326173,40.73941040039063,855
91,2016-01-12,20:39:32,1,-73.97283935546875,40.75899887084961,-73.99069213867188,40.70357894897461,1112
92,2016-01-09,09:16:41,6,-73.91735076904298,40.76109313964844,-73.91893768310547,40.7591209411621,50
93,2016-01-22,20:10:38,1,-73.87448120117188,40.77405166625977,-73.96591186523438,40.71276092529297,940
94,2016-01-19,22:18:13,1,-74.01152038574219,40.70370101928711,-74.0115509033203,40.713661193847656,491
95,2016-01-31,17:48:04,1,-74.00784301757811,40.74671173095703,-74.00382995605469,40.75090026855469,134
96,2016-01-10,12:49:28,1,-74.0061798095703,40.73379898071289,-73.9854736328125,40.7276496887207,593
97,2016-01-25,20:15:35,1,-73.98040771484375,40.762290954589844,-73.99964904785155,40.74266052246094,623
98,2016-01-22,16:11:44,1,-73.96128845214845,40.79642868041992,-73.967529296875,40.80337142944336,495
99,2016-01-29,07:24:18,2,-73.95021057128906,40.78430938720703,-73.9832305908203,40.755149841308594,1096
100,2016-01-19,14:41:20,5,-74.00587463378906,40.736343383789055,-74.00088500976562,40.73735809326172,115
101,2016-01-12,20:11:42,1,-73.97106170654298,40.76595306396485,-73.95394134521484,40.7729377746582,394
102,2016-01-27,20:35:56,1,-73.9736099243164,40.76317596435547,-73.97404479980467,40.79122924804688,993
